EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2022-02-01 16:00:00-05:00,0.76,0.92,21.38
2022-05-03 16:00:00-04:00,0.92,1.13,22.23
2022-08-02 16:00:00-04:00,1.04,1.05,1.37
2022-11-01 16:00:00-04:00,0.7,0.67,-4.83
2023-01-31 16:00:00-05:00,0.67,0.69,2.51
2023-05-02 16:00:00-04:00,0.56,0.6,6.5
2023-08-01 16:00:00-04:00,0.57,0.58,1.05
2023-10-31 16:00:00-04:00,0.68,0.7,3.59
2024-01-30 16:00:00-05:00,0.77,0.77,-0.01
2024-04-30 16:00:00-04:00,0.61,0.62,2.04
2024-07-30 16:00:00-04:00,0.68,0.69,1.26
2024-10-29 16:00:00-04:00,0.92,0.92,0.46
2025-02-04 16:00:00-05:00,1.09,1.09,0.36
2025-05-06 16:00:00-04:00,0.93,0.96,2.83
2025-08-05 16:00:00-04:00,0.48,0.48,-0.55
2025-11-04 16:00:00-05:00,1.17,1.2,2.37
