EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2025-12-11 16:00:00-05:00,4.29,,
2025-09-25 16:00:00-04:00,5.81,5.87,1.11
2025-05-29 16:00:00-04:00,4.23,4.28,1.22
2025-03-06 16:00:00-05:00,4.1,4.02,-1.92
2024-12-12 16:00:00-05:00,3.8,4.04,6.32
2024-09-26 16:00:00-04:00,5.06,5.29,4.49
2024-06-06 06:00:00-04:00,3.77,3.78,0.31
2024-03-07 16:00:00-05:00,3.61,3.92,8.51
2023-12-14 16:00:00-05:00,3.42,3.58,4.83
2023-09-26 16:00:00-04:00,4.78,4.86,1.76
2023-06-01 06:00:00-04:00,3.19,2.93,-8.27
2023-03-02 16:00:00-05:00,3.23,3.3,2.25
