EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2025-12-03 16:00:00-05:00,2.86,,
2025-09-03 16:00:00-04:00,2.78,2.91,4.7
2025-05-28 16:00:00-04:00,2.55,2.58,1.31
2025-02-26 16:00:00-05:00,2.61,2.78,6.43
2024-12-03 16:00:00-05:00,2.45,2.41,-1.47
2024-08-28 16:00:00-04:00,2.36,2.56,8.63
2024-05-29 16:00:00-04:00,2.37,2.44,2.75
2024-02-28 16:00:00-05:00,2.27,2.29,0.96
2023-11-29 16:00:00-05:00,2.06,2.11,2.52
2023-08-30 16:00:00-04:00,1.9,2.12,11.45
2023-05-31 16:00:00-04:00,1.61,1.69,4.84
2023-03-01 16:00:00-05:00,1.36,1.68,23.43
