EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2026-01-14 08:00:00-05:00,1.81,,
2025-10-14 08:00:00-04:00,1.72,1.86,8.0
2025-07-15 08:00:00-04:00,1.61,1.96,21.7
2025-04-15 08:00:00-04:00,1.85,1.96,6.18
2025-01-15 08:00:00-05:00,1.22,1.34,9.44
2024-10-15 08:00:00-04:00,1.31,1.51,15.16
2024-07-12 08:00:00-04:00,1.41,1.52,8.11
2024-04-12 10:00:00-04:00,1.17,1.58,35.47
2024-01-12 10:00:00-05:00,0.6,-1.16,-293.33
2023-10-12 20:00:00-04:00,1.25,1.63,30.06
2023-07-14 09:00:00-04:00,1.33,1.33,0.28
2023-04-14 09:00:00-04:00,1.68,2.19,30.09
2023-01-13 08:00:00-05:00,1.2,1.16,-3.26
