EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2025-12-18 16:00:00-05:00,4.01,,
2025-09-18 16:00:00-04:00,3.61,3.83,6.01
2025-06-24 16:00:00-04:00,5.8,6.07,4.59
2025-03-20 16:00:00-04:00,4.62,4.51,-2.43
2024-12-19 16:00:00-05:00,3.97,4.05,2.12
2024-09-19 16:00:00-04:00,4.77,3.6,-24.48
2024-06-25 16:00:00-04:00,5.37,5.41,0.73
2024-03-21 16:00:00-04:00,3.48,3.86,10.95
2023-12-19 16:00:00-05:00,4.2,3.99,-5.01
2023-09-20 16:00:00-04:00,3.75,4.55,21.29
2023-06-20 16:00:00-04:00,4.88,4.94,1.13
2023-03-16 16:00:00-04:00,2.74,3.41,24.6

