EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2026-02-03 16:00:00-05:00,2.62,,
2025-10-29 16:00:00-04:00,2.26,2.87,26.88
2025-07-23 16:00:00-04:00,2.19,2.31,5.67
2025-04-24 16:00:00-04:00,2.01,2.81,40.1
2025-02-04 16:00:00-05:00,2.13,2.15,1.18
2024-10-29 16:00:00-04:00,1.85,2.12,14.83
2024-07-23 16:00:00-04:00,1.85,1.89,2.4
2024-04-25 16:00:00-04:00,1.51,1.89,24.98
2024-01-30 16:00:00-05:00,1.6,1.64,2.75
2023-10-24 16:00:00-04:00,1.45,1.55,6.74
2023-07-25 16:00:00-04:00,1.34,1.44,7.23
2023-04-25 16:00:00-04:00,1.07,1.17,9.52
2023-02-02 16:00:00-05:00,1.19,1.05,-11.87

