EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2022-01-18 07:00:00-05:00,11.81,10.81,-8.44
2022-04-14 07:00:00-04:00,9.2,10.76,16.92
2022-07-18 07:00:00-04:00,6.63,7.73,16.61
2022-10-18 07:00:00-04:00,7.68,8.25,7.45
2023-01-17 07:00:00-05:00,5.86,3.32,-43.39
2023-04-18 07:00:00-04:00,8.07,8.79,8.89
2023-07-19 07:00:00-04:00,3.92,3.08,-21.42
2023-10-17 07:00:00-04:00,5.51,5.47,-0.74
2024-01-16 07:00:00-05:00,3.94,5.48,39.02
2024-04-15 07:00:00-04:00,8.7,11.58,33.1
2024-07-15 07:00:00-04:00,8.42,8.62,2.36
2024-10-15 07:00:00-04:00,6.92,8.4,21.33
2025-01-15 07:00:00-05:00,8.35,11.95,43.1
2025-04-14 07:00:00-04:00,12.26,14.12,15.16
2025-07-16 07:00:00-04:00,9.66,10.91,12.91
2025-10-14 07:00:00-04:00,11.09,12.25,10.49
