EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2022-01-20 16:00:00-05:00,0.83,1.33,59.66
2022-04-19 16:00:00-04:00,2.91,3.53,21.17
2022-07-19 16:00:00-04:00,2.93,3.2,9.03
2022-10-18 16:00:00-04:00,2.13,3.1,45.21
2023-01-19 16:00:00-05:00,0.48,0.12,-75.18
2023-04-18 16:00:00-04:00,2.87,2.88,0.46
2023-07-19 16:00:00-04:00,2.85,3.29,15.36
2023-10-18 16:00:00-04:00,3.49,3.73,6.74
2024-01-23 16:00:00-05:00,2.22,2.11,-4.79
2024-04-18 16:00:00-04:00,4.53,5.28,16.66
2024-07-18 16:00:00-04:00,4.74,4.88,2.92
2024-10-17 16:00:00-04:00,5.12,5.4,5.56
2025-01-21 16:00:00-05:00,4.2,4.27,1.78
2025-04-17 16:00:00-04:00,5.66,6.61,16.82
2025-07-17 16:00:00-04:00,7.03,7.19,2.24
2025-10-21 16:00:00-04:00,6.97,5.87,-15.79
