EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2022-02-01 16:00:00-05:00,1.12,1.11,-1.04
2022-04-27 16:00:00-04:00,0.88,0.88,0.26
2022-08-02 16:00:00-04:00,0.87,0.93,6.68
2022-11-03 17:00:00-04:00,0.96,1.08,12.46
2023-02-09 16:00:00-05:00,1.2,1.24,3.38
2023-05-08 16:00:00-04:00,1.1,1.17,6.4
2023-08-02 16:00:00-04:00,1.16,1.16,-0.29
2023-11-01 16:00:00-04:00,1.23,1.3,5.78
2024-02-07 16:00:00-05:00,1.36,1.48,8.65
2024-04-30 07:00:00-04:00,1.22,1.08,-11.42
2024-07-30 07:00:00-04:00,0.99,1.19,20.63
2024-10-29 07:00:00-04:00,1.07,1.2,12.16
2025-02-04 07:00:00-05:00,1.12,1.19,5.96
2025-04-29 07:00:00-04:00,1.16,1.33,14.53
2025-07-29 07:00:00-04:00,1.3,1.4,8.0
2025-10-28 07:00:00-04:00,1.21,1.34,11.14
