EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2022-02-22 16:00:00-05:00,1.15,1.24,7.93
2022-05-24 16:00:00-04:00,1.62,1.85,14.35
2022-08-23 16:00:00-04:00,2.29,2.35,2.44
2022-12-06 16:00:00-05:00,3.94,5.63,43.06
2023-02-21 16:00:00-05:00,1.39,1.7,22.68
2023-05-23 16:00:00-04:00,1.92,2.93,52.84
2023-08-22 16:00:00-04:00,2.87,3.76,30.72
2023-12-05 16:00:00-05:00,3.72,4.11,10.49
2024-02-20 16:00:00-05:00,1.77,2.25,27.06
2024-05-21 16:00:00-04:00,4.15,4.75,14.48
2024-08-20 16:00:00-04:00,3.31,3.64,9.94
2024-12-09 16:00:00-05:00,4.35,4.63,6.54
2025-02-18 16:00:00-05:00,2.05,1.75,-14.79
2025-05-20 16:00:00-04:00,2.86,3.5,22.36
2025-08-19 16:00:00-04:00,3.6,3.73,3.75
2025-12-08 16:00:00-05:00,4.89,,
