EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2021-01-14 07:00:00-05:00,0.94,0.97,2.67
2021-04-15 05:00:00-04:00,0.93,0.96,2.79
2021-07-15 06:00:00-04:00,0.92,0.93,0.88
2021-10-14 02:00:00-04:00,1.04,1.07,3.41
2022-01-13 07:00:00-05:00,1.12,1.15,2.7
2022-04-14 02:00:00-04:00,1.31,1.4,6.87
2022-07-13 22:00:00-04:00,1.5,1.55,3.05
2022-10-13 07:00:00-04:00,1.68,1.79,6.35
2023-01-12 01:00:00-05:00,1.76,1.82,3.42
2023-04-20 01:00:00-04:00,1.19,1.31,10.22
2023-07-20 01:00:00-04:00,1.08,1.14,5.52
2023-10-18 20:00:00-04:00,1.17,1.29,10.35
2024-01-17 19:00:00-05:00,1.37,1.44,5.07
2024-04-18 01:00:00-04:00,1.32,1.38,4.52
2024-07-18 01:00:00-04:00,1.42,1.48,3.97
2024-10-17 01:00:00-04:00,1.79,1.94,8.44
2025-01-16 00:00:00-05:00,2.22,2.24,0.68
2025-04-17 01:00:00-04:00,2.05,2.12,3.21
2025-07-17 02:00:00-04:00,2.31,2.47,6.79
2025-10-15 20:00:00-04:00,2.63,2.92,11.23
