symbol,earnings_date,snapshot,snapshot_date,option_ticker,expiration,strike,type
AAPL,2026-01-29 16:00:00-05:00,pre,2026-01-28,O:AAPL260320C00090000,2026-03-20,90.0,call
AAPL,2026-01-29 16:00:00-05:00,pre,2026-01-28,O:AAPL260320P00090000,2026-03-20,90.0,put
AAPL,2026-01-29 16:00:00-05:00,pre,2026-01-28,O:AAPL260320C00095000,2026-03-20,95.0,call
AAPL,2026-01-29 16:00:00-05:00,pre,2026-01-28,O:AAPL260320P00095000,2026-03-20,95.0,put
AAPL,2026-01-29 16:00:00-05:00,pre,2026-01-28,O:AAPL260320C00100000,2026-03-20,100.0,call
AAPL,2026-01-29 16:00:00-05:00,pre,2026-01-28,O:AAPL260320P00100000,2026-03-20,100.0,put
AAPL,2026-01-29 16:00:00-05:00,pre,2026-01-28,O:AAPL260320C00105000,2026-03-20,105.0,call
AAPL,2026-01-29 16:00:00-05:00,pre,2026-01-28,O:AAPL260320P00105000,2026-03-20,105.0,put
AAPL,2026-01-29 16:00:00-05:00,pre,2026-01-28,O:AAPL260320C00110000,2026-03-20,110.0,call
AAPL,2026-01-29 16:00:00-05:00,pre,2026-01-28,O:AAPL260320P00110000,2026-03-20,110.0,put
AAPL,2026-01-29 16:00:00-05:00,pre,2026-01-28,O:AAPL260320C00115000,2026-03-20,115.0,call
AAPL,2026-01-29 16:00:00-05:00,pre,2026-01-28,O:AAPL260320P00115000,2026-03-20,115.0,put
AAPL,2026-01-29 16:00:00-05:00,pre,2026-01-28,O:AAPL260320C00120000,2026-03-20,120.0,call
AAPL,2026-01-29 16:00:00-05:00,pre,2026-01-28,O:AAPL260320P00120000,2026-03-20,120.0,put
AAPL,2026-01-29 16:00:00-05:00,pre,2026-01-28,O:AAPL260320C00125000,2026-03-20,125.0,call
AAPL,2026-01-29 16:00:00-05:00,pre,2026-01-28,O:AAPL260320P00125000,2026-03-20,125.0,put
AAPL,2026-01-29 16:00:00-05:00,pre,2026-01-28,O:AAPL260320C00130000,2026-03-20,130.0,call
AAPL,2026-01-29 16:00:00-05:00,pre,2026-01-28,O:AAPL260320P00130000,2026-03-20,130.0,put
AAPL,2026-01-29 16:00:00-05:00,pre,2026-01-28,O:AAPL260320C00135000,2026-03-20,135.0,call
AAPL,2026-01-29 16:00:00-05:00,pre,2026-01-28,O:AAPL260320P00135000,2026-03-20,135.0,put
AAPL,2026-01-29 16:00:00-05:00,pre,2026-01-28,O:AAPL260320C00140000,2026-03-20,140.0,call
AAPL,2026-01-29 16:00:00-05:00,pre,2026-01-28,O:AAPL260320P00140000,2026-03-20,140.0,put
AAPL,2026-01-29 16:00:00-05:00,pre,2026-01-28,O:AAPL260320C00145000,2026-03-20,145.0,call
AAPL,2026-01-29 16:00:00-05:00,pre,2026-01-28,O:AAPL260320P00145000,2026-03-20,145.0,put
AAPL,2026-01-29 16:00:00-05:00,pre,2026-01-28,O:AAPL260320C00150000,2026-03-20,150.0,call
AAPL,2026-01-29 16:00:00-05:00,pre,2026-01-28,O:AAPL260320P00150000,2026-03-20,150.0,put
