symbol,earnings_date,snapshot,snapshot_date,option_ticker,expiration,strike,type
MSFT,2026-01-28 16:00:00-05:00,pre,2026-01-27,O:MSFT260320C00175000,2026-03-20,175.0,call
MSFT,2026-01-28 16:00:00-05:00,pre,2026-01-27,O:MSFT260320P00175000,2026-03-20,175.0,put
MSFT,2026-01-28 16:00:00-05:00,pre,2026-01-27,O:MSFT260320C00180000,2026-03-20,180.0,call
MSFT,2026-01-28 16:00:00-05:00,pre,2026-01-27,O:MSFT260320P00180000,2026-03-20,180.0,put
MSFT,2026-01-28 16:00:00-05:00,pre,2026-01-27,O:MSFT260320C00185000,2026-03-20,185.0,call
MSFT,2026-01-28 16:00:00-05:00,pre,2026-01-27,O:MSFT260320P00185000,2026-03-20,185.0,put
MSFT,2026-01-28 16:00:00-05:00,pre,2026-01-27,O:MSFT260320C00190000,2026-03-20,190.0,call
MSFT,2026-01-28 16:00:00-05:00,pre,2026-01-27,O:MSFT260320P00190000,2026-03-20,190.0,put
MSFT,2026-01-28 16:00:00-05:00,pre,2026-01-27,O:MSFT260320C00195000,2026-03-20,195.0,call
MSFT,2026-01-28 16:00:00-05:00,pre,2026-01-27,O:MSFT260320P00195000,2026-03-20,195.0,put
MSFT,2026-01-28 16:00:00-05:00,pre,2026-01-27,O:MSFT260320C00200000,2026-03-20,200.0,call
MSFT,2026-01-28 16:00:00-05:00,pre,2026-01-27,O:MSFT260320P00200000,2026-03-20,200.0,put
MSFT,2026-01-28 16:00:00-05:00,pre,2026-01-27,O:MSFT260320C00210000,2026-03-20,210.0,call
MSFT,2026-01-28 16:00:00-05:00,pre,2026-01-27,O:MSFT260320P00210000,2026-03-20,210.0,put
MSFT,2026-01-28 16:00:00-05:00,pre,2026-01-27,O:MSFT260320C00220000,2026-03-20,220.0,call
MSFT,2026-01-28 16:00:00-05:00,pre,2026-01-27,O:MSFT260320P00220000,2026-03-20,220.0,put
MSFT,2026-01-28 16:00:00-05:00,pre,2026-01-27,O:MSFT260320C00230000,2026-03-20,230.0,call
MSFT,2026-01-28 16:00:00-05:00,pre,2026-01-27,O:MSFT260320P00230000,2026-03-20,230.0,put
MSFT,2026-01-28 16:00:00-05:00,pre,2026-01-27,O:MSFT260320C00240000,2026-03-20,240.0,call
MSFT,2026-01-28 16:00:00-05:00,pre,2026-01-27,O:MSFT260320P00240000,2026-03-20,240.0,put
MSFT,2026-01-28 16:00:00-05:00,pre,2026-01-27,O:MSFT260320C00250000,2026-03-20,250.0,call
MSFT,2026-01-28 16:00:00-05:00,pre,2026-01-27,O:MSFT260320P00250000,2026-03-20,250.0,put
MSFT,2026-01-28 16:00:00-05:00,pre,2026-01-27,O:MSFT260320C00260000,2026-03-20,260.0,call
MSFT,2026-01-28 16:00:00-05:00,pre,2026-01-27,O:MSFT260320P00260000,2026-03-20,260.0,put
MSFT,2026-01-28 16:00:00-05:00,pre,2026-01-27,O:MSFT260320C00270000,2026-03-20,270.0,call
MSFT,2026-01-28 16:00:00-05:00,pre,2026-01-27,O:MSFT260320P00270000,2026-03-20,270.0,put
MSFT,2026-01-28 16:00:00-05:00,pre,2026-01-27,O:MSFT260320C00280000,2026-03-20,280.0,call
MSFT,2026-01-28 16:00:00-05:00,pre,2026-01-27,O:MSFT260320P00280000,2026-03-20,280.0,put
MSFT,2026-01-28 16:00:00-05:00,pre,2026-01-27,O:MSFT260320C00290000,2026-03-20,290.0,call
MSFT,2026-01-28 16:00:00-05:00,pre,2026-01-27,O:MSFT260320P00290000,2026-03-20,290.0,put
MSFT,2026-01-28 16:00:00-05:00,pre,2026-01-27,O:MSFT260320C00300000,2026-03-20,300.0,call
MSFT,2026-01-28 16:00:00-05:00,pre,2026-01-27,O:MSFT260320P00300000,2026-03-20,300.0,put
MSFT,2026-01-28 16:00:00-05:00,pre,2026-01-27,O:MSFT260320C00310000,2026-03-20,310.0,call
MSFT,2026-01-28 16:00:00-05:00,pre,2026-01-27,O:MSFT260320P00310000,2026-03-20,310.0,put
MSFT,2026-01-28 16:00:00-05:00,pre,2026-01-27,O:MSFT260320C00320000,2026-03-20,320.0,call
MSFT,2026-01-28 16:00:00-05:00,pre,2026-01-27,O:MSFT260320P00320000,2026-03-20,320.0,put
MSFT,2026-01-28 16:00:00-05:00,pre,2026-01-27,O:MSFT260320C00330000,2026-03-20,330.0,call
MSFT,2026-01-28 16:00:00-05:00,pre,2026-01-27,O:MSFT260320P00330000,2026-03-20,330.0,put
MSFT,2026-01-28 16:00:00-05:00,pre,2026-01-27,O:MSFT260320C00340000,2026-03-20,340.0,call
MSFT,2026-01-28 16:00:00-05:00,pre,2026-01-27,O:MSFT260320P00340000,2026-03-20,340.0,put
MSFT,2026-01-28 16:00:00-05:00,pre,2026-01-27,O:MSFT260320C00350000,2026-03-20,350.0,call
MSFT,2026-01-28 16:00:00-05:00,pre,2026-01-27,O:MSFT260320P00350000,2026-03-20,350.0,put
