symbol,earn_date,type,expiry,strike,ticker,price_pre,price_post,price_change,iv_pre,iv_post,iv_crush,pre_file,post_file
LLY,2025-05-01,call,2025-05-02,850.0,O:LLY250502C00850000,54.05,0.01,-54.04,2.1511919943240168,,,2025-04-30,2025-05-02
LLY,2025-05-01,put,2025-05-02,850.0,O:LLY250502P00850000,6.55,25.0,18.45,0.2655948130970716,,,2025-04-30,2025-05-02
LLY,2024-10-30,call,2024-11-01,892.5,O:LLY241101C00892500,34.0,0.01,-33.99,1.048205960074,,,2024-10-29,2024-11-01
LLY,2024-10-30,put,2024-11-01,892.5,O:LLY241101P00892500,21.64,71.0,49.36,0.6762954807314806,,,2024-10-29,2024-11-01
LLY,2024-04-30,call,2024-05-03,735.0,O:LLY240503C00735000,21.88,42.45,20.570000000000004,0.7065746076858768,1.953067980853065,-124.64933731671883,2024-04-29,2024-05-01
LLY,2024-04-30,put,2024-05-03,735.0,O:LLY240503P00735000,19.15,0.12,-19.029999999999998,0.6306848502459046,0.009452604485108687,62.12322457607959,2024-04-29,2024-05-01
LLY,2024-02-06,call,2024-02-09,650.0,O:LLY240209C00650000,60.36,80.27,19.909999999999997,2.222572224316729,4.194501395417094,-197.19291711003652,2024-02-05,2024-02-07
LLY,2024-02-06,put,2024-02-09,650.0,O:LLY240209P00650000,3.2,0.04,-3.16,0.1243639670409014,0.005528168520113225,11.883579852078817,2024-02-05,2024-02-07
LLY,2022-11-01,call,2022-11-04,340.0,O:LLY221104C00340000,23.51,16.8,-6.710000000000001,1.6516342310209915,1.6698638069449099,-1.8229575923918384,2022-10-31,2022-11-02
LLY,2022-11-01,put,2022-11-04,340.0,O:LLY221104P00340000,1.55,0.29,-1.26,0.1156312128022247,0.03332021653726019,8.231099626496452,2022-10-31,2022-11-02
