ticker,earn_date,type,strike,pre_date,post_date,price_pre,price_post,price_change,IV_pre,IV_post,IV_crush,RV30
AAL,2022-01-20,call,18.5,2022-01-19,2022-01-21,0.48,0.29,-0.19,1.2395467648868126,0.7475079080079363,0.4920388568788763,0.257413622005001
AAL,2022-01-20,put,18.5,2022-01-19,2022-01-21,1.39,2.88,1.49,3.6070271415533117,,,0.257413622005001
AAL,2022-04-21,call,18.5,2022-04-20,2022-04-22,1.4,2.96,1.56,3.6264415318797973,,,0.3179448689886298
AAL,2022-04-21,put,18.5,2022-04-20,2022-04-22,0.54,1.14,0.5999999999999999,1.401530586880932,2.9574331371761415,-1.5559025502952095,0.3179448689886298
AAL,2022-07-21,call,15.5,2022-07-20,2022-07-22,0.6,0.56,-0.039999999999999925,1.8513394488968036,1.7276104982822758,0.12372895061452782,0.2220467514035483
AAL,2022-07-21,put,15.5,2022-07-20,2022-07-22,0.83,0.82,-0.010000000000000009,2.5697725377420175,2.5388051170943893,0.030967420647628252,0.2220467514035483
AAL,2022-10-20,call,14.0,2022-10-19,2022-10-21,0.92,0.27,-0.65,3.1474860187233866,0.9204433213397577,2.227042697383629,0.18842220848076743
AAL,2022-10-20,put,14.0,2022-10-19,2022-10-21,1.59,0.53,-1.06,,1.817030172390662,,0.18842220848076743
AAL,2023-01-26,call,16.0,2023-01-25,2023-01-27,1.01,0.6,-0.41000000000000003,3.023074039837069,1.793339167599755,1.229734872237314,0.26322168275195107
AAL,2023-01-26,put,16.0,2023-01-25,2023-01-27,0.51,1.59,1.08,1.5302553283231715,4.774980457919211,-3.2447251295960395,0.26322168275195107
AAL,2023-04-27,call,13.0,2023-04-26,2023-04-28,0.53,1.13,0.5999999999999999,1.9500985246034117,4.167919667118953,-2.2178211425155414,0.27605539503526244
AAL,2023-04-27,put,13.0,2023-04-26,2023-04-28,3.3,0.4,-2.9,,1.4772563339722646,,0.27605539503526244
AAL,2023-07-20,call,18.0,2023-07-19,2023-07-21,1.11,2.39,1.28,2.953017114269317,,,0.291764593986483
AAL,2023-07-20,put,18.0,2023-07-19,2023-07-21,0.6,3.32,2.7199999999999998,1.6001570632332014,,,0.291764593986483
AAL,2023-10-19,call,12.0,2023-10-18,2023-10-20,1.9,0.42,-1.48,,1.6734848484730336,,0.15406326621859612
AAL,2023-10-19,put,12.0,2023-10-18,2023-10-20,1.69,3.15,1.46,,,,0.15406326621859612
AAL,2024-01-25,call,14.0,2024-01-24,2024-01-26,1.93,5.0,3.0700000000000003,,,,0.3795441513327251
AAL,2024-01-25,put,14.0,2024-01-24,2024-01-26,0.65,0.56,-0.08999999999999997,2.228113825576267,1.9197795261374393,0.3083342994388276,0.3795441513327251
AAL,2024-04-25,call,14.0,2024-04-24,2024-04-26,0.79,0.78,-0.010000000000000009,2.701464219516514,2.6671708635097295,0.0342933560067844,0.2815916667354651
AAL,2024-04-25,put,14.0,2024-04-24,2024-04-26,0.47,0.96,0.49,1.6115700929408372,3.291391469970946,-1.679821377030109,0.2815916667354651
AAL,2024-07-25,call,11.0,2024-07-24,2024-07-26,0.93,1.05,0.12,4.0533888340842905,4.579199090815891,-0.5258102567316003,0.2585002147090294
