ticker,volume,open,close,high,low,window_start,transactions
O:VIX220720P00020000,100,0.05,0.05,0.05,0.05,1655697600000000000,2
O:VIX220720P00023000,10,0.2,0.2,0.2,0.2,1655697600000000000,3
O:VIX220720P00025000,1,0.8,0.8,0.8,0.8,1655697600000000000,1
O:VIX220720P00028000,1,2,2,2,2,1655697600000000000,1
O:VIX220720P00035000,1,6.9,6.9,6.9,6.9,1655697600000000000,1
O:VIX220817C00030000,15,4.4,4.6,4.6,4.4,1655697600000000000,7
O:VIX220817C00040000,1,2.32,2.32,2.32,2.32,1655697600000000000,1
O:VIX220817C00065000,1,0.87,0.87,0.87,0.87,1655697600000000000,1
O:VIX220817P00020000,50,0.15,0.15,0.15,0.15,1655697600000000000,4
O:VIX220817P00026000,3,1.7,1.7,1.7,1.7,1655697600000000000,1
O:VIX220817P00030000,5,4.2,4.2,4.2,4.2,1655697600000000000,4
O:VIX220921C00030000,15,4.9,5.1,5.1,4.9,1655697600000000000,3
O:VIX220921P00018000,100,0.1,0.1,0.1,0.1,1655697600000000000,2
O:VIX221019C00150000,10,0.2,0.2,0.2,0.2,1655697600000000000,1
O:VIXW220622C00027000,3,4.04,4.04,4.04,4.04,1655697600000000000,1
O:VIXW220622C00037500,10,0.23,0.23,0.23,0.23,1655697600000000000,1
O:VIXW220629C00027000,3,4.08,4.08,4.08,4.08,1655697600000000000,1
O:VIXW220629C00037500,12,0.65,0.65,0.65,0.65,1655697600000000000,1
O:VIXW220629C00050000,12,0.3,0.3,0.3,0.3,1655697600000000000,1
O:VIXW220629P00025000,10,0.1,0.1,0.1,0.1,1655697600000000000,1
O:VIXW220629P00030000,10,1.88,1.88,1.88,1.88,1655697600000000000,1
O:VIXW220706C00035000,2,2.1,2.1,2.1,2.1,1655697600000000000,1
O:SPX220715C03800000,3,58.43,58.43,58.43,58.43,1655697600000000000,1
O:SPX220715C04065000,20,8.8,8.1,8.8,8.1,1655697600000000000,4
O:SPX220715P03400000,7,27.7,27.7,27.7,27.7,1655697600000000000,1
O:SPX220715P03550000,3,61.43,61.43,61.43,61.43,1655697600000000000,1
O:SPX220715P03950000,260,269.41,269.41,269.41,269.41,1655697600000000000,1
O:SPX220715P04000000,260,312.61,312.61,312.61,312.61,1655697600000000000,1
O:SPX220715P04100000,8,412,408.5,412,404,1655697600000000000,8
O:SPX220715P04300000,300,600.97,600.97,600.97,600.97,1655697600000000000,2
O:SPX220715P04500000,300,799.57,799.57,799.57,799.57,1655697600000000000,2
O:SPX220819C03900000,130,70.58,70.54,70.58,70.29,1655697600000000000,3
O:SPX220819C04150000,130,17.9,17.85,17.9,17.85,1655697600000000000,3
O:SPX220819P02250000,6,4.7,4.7,4.7,4.7,1655697600000000000,1
O:SPX220819P03900000,130,267.89,268.03,268.11,267.89,1655697600000000000,3
O:SPX220819P04100000,50,427,424,427,420,1655697600000000000,10
O:SPX220819P04150000,330,466.07,464.25,466.07,464.21,1655697600000000000,6
O:SPX220819P04350000,400,653.65,650.9,653.65,650.9,1655697600000000000,3
O:SPX220819P04750000,200,1047.93,1044.6,1047.93,1044.6,1655697600000000000,3
O:SPX220916C04400000,2,8.5,8.5,8.5,8.5,1655697600000000000,2
O:SPX220916P01500000,5,2.3,2.3,2.3,2.3,1655697600000000000,1
O:SPX221021C04650000,1,4.8,4.8,4.8,4.8,1655697600000000000,1
O:SPX221021P03700000,400,222.07,221.32,222.07,221.32,1655697600000000000,2
O:SPX221021P03750000,400,244.57,243.82,244.57,243.82,1655697600000000000,2
O:SPX221021P04000000,260,386.14,386.14,386.14,386.14,1655697600000000000,2
O:SPX221021P04050000,260,420.84,420.84,420.84,420.84,1655697600000000000,2
O:SPX221118C04800000,1,4.1,4.1,4.1,4.1,1655697600000000000,1
O:SPX221118C04825000,4,3.6,3.6,3.7,3.6,1655697600000000000,3
O:SPX221118P02700000,9,38.04,38.04,38.04,38.04,1655697600000000000,1
O:SPX221118P03450000,9,146.81,146.81,146.81,146.81,1655697600000000000,1
O:SPX221118P03975000,3,373.51,373.51,373.51,373.51,1655697600000000000,1
O:SPX221216P02000000,1,16.2,16.2,16.2,16.2,1655697600000000000,1
O:SPX221216P02500000,1,35.2,35.2,35.2,35.2,1655697600000000000,1
O:SPX221216P03100000,1,89.48,89.48,89.48,89.48,1655697600000000000,1
O:SPX221216P03200000,2,105.51,105.51,105.51,105.51,1655697600000000000,1
O:SPX221216P03500000,1,179.01,179.01,179.01,179.01,1655697600000000000,1
O:SPX221216P03600000,3,212.33,211.41,212.33,211.41,1655697600000000000,2
O:SPX221216P03700000,1,251.11,251.11,251.11,251.11,1655697600000000000,1
O:SPX230120C03900000,15,195.5,195.5,195.5,195.5,1655697600000000000,1
O:SPX230120P04350000,133,668.59,668.59,668.59,668.59,1655697600000000000,1
O:SPX230120P04400000,133,709.09,709.09,709.09,709.09,1655697600000000000,1
O:SPX230317P01900000,3,22.9,22.9,22.9,22.9,1655697600000000000,1
O:SPX230317P02000000,5,26.5,26.5,26.5,26.5,1655697600000000000,1
O:SPX230317P02900000,1,94.4,94.4,94.4,94.4,1655697600000000000,1
O:SPX230317P03500000,1,224,224,224,224,1655697600000000000,1
O:SPX230317P04100000,150,503.97,503.97,503.97,503.97,1655697600000000000,3
O:SPX230317P04200000,300,568.53,568.53,568.53,568.53,1655697600000000000,3
O:SPX230317P04250000,150,602.74,602.74,602.74,602.74,1655697600000000000,3
O:SPX230915C03900000,20,326,326,326,326,1655697600000000000,1
O:SPX231215C06200000,1,9,9,9,9,1655697600000000000,1
O:SPX231215P02200000,1,65.8,65.8,65.8,65.8,1655697600000000000,1
O:SPX241220C07800000,5,8.4,8.4,8.4,8.4,1655697600000000000,1
O:SPXW220621C03600000,30,108.1,108.91,108.91,108.1,1655697600000000000,5
O:SPXW220621C03650000,30,64,64.81,64.81,64,1655697600000000000,5
O:SPXW220621C03665000,2,50.2,50.2,50.2,50.2,1655697600000000000,2
O:SPXW220621C03670000,7,47.4,47.1,47.4,46.9,1655697600000000000,4
