ticker,volume,open,close,high,low,window_start,transactions
O:SPX220715C03725000,2,121.91,121.91,121.91,121.91,1656907200000000000,2
O:SPX220715C03775000,2,88.56,88.56,88.56,88.56,1656907200000000000,2
O:SPX220715P03750000,1,45.94,45.94,45.94,45.94,1656907200000000000,1
O:SPX220715P03800000,22,67.9,64.94,67.9,64.94,1656907200000000000,4
O:SPX220819C03810000,1,137.3,137.3,137.3,137.3,1656907200000000000,1
O:SPX220819C04470000,1,1.27,1.27,1.27,1.27,1656907200000000000,1
O:SPX220819C04480000,1,1.12,1.12,1.12,1.12,1656907200000000000,1
O:SPX220819P03100000,9,10.9,10.9,10.9,10.9,1656907200000000000,2
O:SPX220819P03345000,1,24.18,24.18,24.18,24.18,1656907200000000000,1
O:SPX220819P03395000,1,29.53,29.53,29.53,29.53,1656907200000000000,1
O:SPX220916C04000000,25,80.3,80.3,80.3,80.3,1656907200000000000,1
O:SPX220916C04200000,150,26,26.2,26.2,26,1656907200000000000,7
O:SPX220916C04300000,1,14.3,14.3,14.3,14.3,1656907200000000000,1
O:SPX220916P03500000,20,73.3,75,75,73.3,1656907200000000000,2
O:SPX221118C05700000,6,0.35,0.35,0.35,0.35,1656907200000000000,1
O:SPX221216C04100000,3,120.3,115,120.3,115,1656907200000000000,3
O:SPX221216P03000000,5,56.3,56.3,56.3,56.3,1656907200000000000,1
O:SPX231215C06000000,1,11.1,11.1,11.1,11.1,1656907200000000000,1
O:SPXW220705C03770000,2,43.5,39,43.5,39,1656907200000000000,2
O:SPXW220705C03780000,12,35.4,44.1,44.1,35.4,1656907200000000000,4
O:SPXW220705C03785000,5,38.6,38.6,38.6,38.6,1656907200000000000,2
O:SPXW220705C03790000,2,27,29,29,27,1656907200000000000,2
O:SPXW220705C03795000,5,31.6,31.6,31.6,31.6,1656907200000000000,1
O:SPXW220705C03800000,56,26.3,23,31.3,21.6,1656907200000000000,26
O:SPXW220705C03805000,23,23.11,26.1,26.1,19.7,1656907200000000000,5
O:SPXW220705C03810000,40,21.6,22.5,25.5,18,1656907200000000000,23
O:SPXW220705C03815000,17,18.5,18.7,22.6,15.1,1656907200000000000,11
O:SPXW220705C03820000,37,14.7,17.2,20,14.1,1656907200000000000,18
O:SPXW220705C03825000,21,15.2,12,16.6,11.8,1656907200000000000,16
O:SPXW220705C03830000,120,13.21,13.4,16.3,9.9,1656907200000000000,52
O:SPXW220705C03835000,67,9.3,11.1,14.3,8.7,1656907200000000000,15
O:SPXW220705C03840000,65,8.3,8.2,12.6,6.9,1656907200000000000,27
O:SPXW220705C03845000,63,8.5,6.5,10.2,6.3,1656907200000000000,28
O:SPXW220705C03850000,286,7.8,7,9.1,5,1656907200000000000,119
O:SPXW220705C03855000,29,6,4.4,7.3,4.3,1656907200000000000,19
O:SPXW220705C03860000,52,4.5,4.8,6.8,3.4,1656907200000000000,35
O:SPXW220705C03865000,25,3.4,3.8,5.4,2.8,1656907200000000000,20
O:SPXW220705C03870000,99,3.7,3.03,4.6,2.25,1656907200000000000,85
O:SPXW220705C03875000,104,2.4,1.95,3.6,1.95,1656907200000000000,18
O:SPXW220705C03880000,76,2.4,2,3.2,1.5,1656907200000000000,59
O:SPXW220705C03885000,95,2.05,1.35,2.5,1.15,1656907200000000000,22
O:SPXW220705C03890000,41,1.85,1.1,2,0.95,1656907200000000000,35
O:SPXW220705C03895000,71,0.87,0.85,1.5,0.85,1656907200000000000,30
O:SPXW220705C03900000,383,1.1,0.75,1.3,0.5,1656907200000000000,192
O:SPXW220705C03905000,38,0.7,0.45,0.95,0.45,1656907200000000000,15
O:SPXW220705C03910000,9,0.5,0.45,0.8,0.45,1656907200000000000,9
O:SPXW220705C03915000,4,0.55,0.4,0.55,0.4,1656907200000000000,4
O:SPXW220705C03920000,16,0.4,0.2,0.5,0.2,1656907200000000000,13
O:SPXW220705C03925000,2,0.3,0.35,0.35,0.3,1656907200000000000,2
O:SPXW220705C03930000,19,0.25,0.15,0.25,0.15,1656907200000000000,8
O:SPXW220705C03935000,1,0.15,0.15,0.15,0.15,1656907200000000000,1
O:SPXW220705C03945000,8,0.1,0.1,0.1,0.1,1656907200000000000,2
O:SPXW220705C03960000,1,0.1,0.1,0.1,0.1,1656907200000000000,1
O:SPXW220705C04000000,20,0.1,0.1,0.1,0.1,1656907200000000000,1
O:SPXW220705P03620000,16,0.15,0.15,0.15,0.15,1656907200000000000,3
O:SPXW220705P03635000,1,0.2,0.2,0.2,0.2,1656907200000000000,1
O:SPXW220705P03640000,7,0.25,0.15,0.25,0.15,1656907200000000000,2
O:SPXW220705P03645000,2,0.2,0.2,0.2,0.2,1656907200000000000,1
O:SPXW220705P03650000,2,0.31,0.2,0.31,0.2,1656907200000000000,2
O:SPXW220705P03660000,2,0.25,0.25,0.25,0.25,1656907200000000000,2
O:SPXW220705P03665000,1,0.4,0.4,0.4,0.4,1656907200000000000,1
O:SPXW220705P03670000,1,0.25,0.25,0.25,0.25,1656907200000000000,1
O:SPXW220705P03675000,36,0.55,0.36,0.55,0.36,1656907200000000000,4
O:SPXW220705P03680000,66,0.55,0.25,0.6,0.25,1656907200000000000,4
O:SPXW220705P03685000,1,0.6,0.6,0.6,0.6,1656907200000000000,1
O:SPXW220705P03690000,68,0.75,0.45,0.8,0.45,1656907200000000000,4
O:SPXW220705P03695000,6,1.15,0.45,1.15,0.45,1656907200000000000,6
O:SPXW220705P03700000,52,1.25,0.63,1.5,0.5,1656907200000000000,27
O:SPXW220705P03705000,4,0.86,0.6,1.15,0.6,1656907200000000000,3
O:SPXW220705P03710000,10,1.95,0.9,2,0.75,1656907200000000000,10
O:SPXW220705P03715000,7,2.4,1.2,2.4,1.2,1656907200000000000,4
O:SPXW220705P03720000,21,2.1,1.2,2.9,1.15,1656907200000000000,20
O:SPXW220705P03725000,73,2.1,1.6,2.1,1.3,1656907200000000000,15
O:SPXW220705P03730000,18,3.7,2.3,4.2,1.55,1656907200000000000,16
O:SPXW220705P03735000,5,2.65,2.5,3.1,2.5,1656907200000000000,4
O:SPXW220705P03740000,29,4.8,2.4,5.5,2.4,1656907200000000000,14
O:SPXW220705P03745000,6,5.5,4.2,5.5,2.65,1656907200000000000,6
O:SPXW220705P03750000,82,5.9,3.5,8.4,3.2,1656907200000000000,50
O:SPXW220705P03755000,41,7.76,4.22,8.8,4.2,1656907200000000000,13
O:SPXW220705P03760000,69,8.23,4.9,8.23,4.6,1656907200000000000,16
O:SPXW220705P03765000,7,9.9,5.3,11.2,5.3,1656907200000000000,7
O:SPXW220705P03770000,9,12,7.7,12,7.7,1656907200000000000,7
O:SPXW220705P03775000,14,14,8.3,15.4,8.3,1656907200000000000,10
O:SPXW220705P03780000,79,13.78,8.9,17.4,8.5,1656907200000000000,24
O:SPXW220705P03785000,3,11.9,10.3,12.4,10.3,1656907200000000000,3
O:SPXW220705P03790000,56,17,13,21.2,11.6,1656907200000000000,26
O:SPXW220705P03795000,14,19.6,13.7,19.6,13.7,1656907200000000000,6
O:SPXW220705P03800000,73,21,18.7,24.7,14,1656907200000000000,38
O:SPXW220705P03805000,44,26.5,17.4,26.5,17.4,1656907200000000000,15
O:SPXW220705P03810000,50,29,20.1,29,20.1,1656907200000000000,19
O:SPXW220705P03815000,4,20.7,21,21,20.7,1656907200000000000,3
O:SPXW220705P03820000,8,32.8,29.2,32.8,24.2,1656907200000000000,5
O:SPXW220705P03825000,3,28.4,28.8,28.8,28.4,1656907200000000000,2
O:SPXW220705P03835000,5,34.6,34.6,34.6,34.6,1656907200000000000,1
O:SPXW220705P03865000,2,57.55,57.55,57.55,57.55,1656907200000000000,1
O:SPXW220706C03810000,10,32.7,32.3,32.7,32.3,1656907200000000000,4
O:SPXW220706C03820000,2,30,30.1,30.1,30,1656907200000000000,2
O:SPXW220706C03825000,4,20.66,25.3,25.9,20.66,1656907200000000000,4
O:SPXW220706C03840000,2,22.2,15.8,22.2,15.8,1656907200000000000,2
